question_id,fixed_recall_5,fixed_recall_10,sentence_recall_5,sentence_recall_10,semantic_recall_5,semantic_recall_10
q001,1.0,1.0,1.0,1.0,1.0,1.0
q002,1.0,1.0,1.0,1.0,1.0,1.0
q003,1.0,1.0,1.0,1.0,1.0,1.0
q004,1.0,1.0,1.0,1.0,1.0,1.0
q005,1.0,1.0,1.0,1.0,1.0,1.0
q006,1.0,1.0,1.0,1.0,1.0,1.0
q007,1.0,1.0,1.0,1.0,1.0,1.0
q008,1.0,1.0,1.0,1.0,1.0,1.0
q009,0.0,0.0,0.0,0.0,0.0,1.0
q010,0.0,0.0,0.0,0.0,0.0,0.0
q011,1.0,1.0,1.0,1.0,1.0,1.0
q012,1.0,1.0,1.0,1.0,1.0,1.0
q013,1.0,1.0,1.0,1.0,1.0,1.0
q014,1.0,1.0,1.0,1.0,1.0,1.0
q015,0.0,0.0,0.0,0.0,0.0,0.0
q016,1.0,1.0,1.0,1.0,1.0,1.0
q017,1.0,1.0,0.0,1.0,0.0,1.0
q018,1.0,1.0,1.0,1.0,1.0,1.0
q019,0.0,0.0,0.0,0.0,0.0,0.0
q020,1.0,1.0,1.0,1.0,1.0,1.0
q021,1.0,1.0,1.0,1.0,1.0,1.0
q022,1.0,1.0,1.0,1.0,1.0,1.0
q023,1.0,1.0,1.0,1.0,1.0,1.0
q024,1.0,1.0,1.0,1.0,1.0,1.0
q025,1.0,1.0,1.0,1.0,1.0,1.0
