question_id,query_type,dense_recall,bm25_recall,hybrid_recall
Q_SEM_01,semantic,1,1,1
Q_SEM_02,semantic,1,1,1
Q_SEM_03,semantic,1,0,1
Q_SEM_04,semantic,0,1,0
Q_SEM_05,semantic,1,0,1
Q_SEM_06,semantic,1,0,0
Q_SEM_07,semantic,1,0,1
Q_SEM_08,semantic,1,1,1
Q_SEM_09,semantic,1,1,1
Q_SEM_10,semantic,1,1,1
Q_SEM_11,semantic,0,1,1
Q_SEM_12,semantic,0,1,1
Q_SEM_13,semantic,1,1,1
Q_SEM_14,semantic,1,1,1
Q_SEM_15,semantic,1,1,1
Q_SEM_16,semantic,1,1,1
Q_SEM_17,semantic,1,1,1
Q_SEM_18,semantic,1,1,1
Q_SEM_19,semantic,1,0,1
Q_SEM_20,semantic,0,1,0
Q_SEM_21,semantic,1,0,1
Q_SEM_22,semantic,1,0,0
Q_SEM_23,semantic,1,0,1
Q_SEM_24,semantic,1,1,1
Q_SEM_25,semantic,1,1,1
Q_SEM_26,semantic,1,1,1
Q_SEM_27,semantic,0,1,1
Q_SEM_28,semantic,0,1,1
Q_SEM_29,semantic,1,1,1
Q_SEM_30,semantic,1,1,1
Q_KEY_01,keyword,0,1,0
Q_KEY_02,mixed,1,1,1
Q_KEY_03,keyword,1,1,1
Q_KEY_04,mixed,1,1,1
Q_KEY_05,keyword,1,1,1
Q_KEY_06,mixed,1,1,1
Q_KEY_07,keyword,1,1,1
Q_KEY_08,mixed,1,1,1
Q_KEY_09,keyword,1,1,1
Q_KEY_10,mixed,1,1,1
